store,city,region,province,size,revenue,units,cost,gross_profit,promo_units,energy_units,regularBars_units,gum_units,bagpegCandy_units,isotonics_units,singleServePotato_units,takeHomePotato_units,kingBars_units,flatWater_units,psd591Ml_units
91391,NEW WESTMINSTER,WEST,BC,834,7810.2,3385.25,4681.69,3128.51,1237.73,550.69,273.62,145.65,80.9,209.5,137.75,51,134.67,327.48,108.88
91397,COQUITLAM,WEST,BC,723,1896.82,836.75,1148.81,748.01,273.08,117.83,64.96,43.31,30.4,70.13,24.6,12.15,34.73,84.9,26.75
91404,NORTH VANCOUVER,WEST,BC,841,8143.33,3493.31,5001.97,3141.36,1020.83,343.94,209.88,111.79,143.42,262.06,144.35,102.5,117.42,405.79,124.77
91417,TSAWWASSEN,WEST,BC,297,593.52,295.19,368.81,224.71,137.63,47.31,20.87,24.23,0,25.21,13.17,0.08,15.37,37.19,15.35
91437,RICHMOND,WEST,BC,826,1574.4,715.48,961.67,612.73,260.62,87.52,60.19,43.5,20.73,50,25.9,12.88,23.48,89.21,18.19
91445,RICHMOND,WEST,BC,810,2098.29,933.44,1283.22,815.07,342.27,108.88,77.21,40.62,28.33,58.23,31.17,19.23,34.81,131.77,29.69
91450,NANAIMO,WEST,BC,529,773.52,370.12,481.93,291.59,165.54,49.88,31.13,19.06,8.81,23.81,6.23,6.77,15.19,45.92,15.12
91685,SORRENTO,WEST,BC,665,2941.21,1240.13,1764.38,1176.83,485.65,198.15,77.73,48.69,56.79,80.27,43.08,22.42,39.06,156.87,48.92
91762,VANCOUVER,WEST,BC,512,1247.6,564.48,735.95,511.65,156.71,77.69,35.63,42.56,19.52,40.21,18.1,7.88,19.4,73.67,20.65
91888,VICTORIA,WEST,BC,641,1865.07,868.96,1148.01,717.06,342.67,126.08,56.83,64.71,13.67,75.48,34.73,9.62,30.06,83.35,42.12
91890,CALGARY,WEST,AB,742,2883.32,1294.69,1786.96,1096.36,517.54,214.25,144.96,79.27,32.4,74.31,37.54,24.31,50.42,133.96,51.29
91946,VALEMOUNT,WEST,BC,1089,15618.66,6275.65,9200.99,6417.67,2270,637.02,548.4,150.35,258.19,305.75,184.77,198.42,306.4,792.15,203.65
92110,CAMPBELL RIVER,WEST,BC,660,2273.07,1017.58,1405.32,867.75,326.63,152.12,62.5,57.06,48.81,65,22.12,16.52,51.31,65.15,41.9
92523,VANCOUVER,WEST,BC,322,1277.73,595.9,777.44,500.3,183.63,62.96,55.96,35.15,0,30.1,30.88,7.46,34.31,73.29,23.37
92529,PORT MOODY,WEST,BC,842,3174.81,1388.42,1931.95,1242.86,480.58,216.12,82.27,66.06,48.6,98.29,45.58,25.06,46.98,161.81,47.25
92557,DELTA,WEST,BC,797,2333.66,1027.71,1413.65,920.01,407.77,134.63,107.5,52.96,37.79,65.88,29.6,19.35,30.77,86.02,32.75
92564,SURREY,WEST,BC,881,2937.11,1264.23,1771.7,1165.4,483.44,193.96,84.4,72.19,47.17,75.92,42.46,29.13,54.62,128.98,35.69
92575,VICTORIA,WEST,BC,822,5197.96,2235.63,3093.26,2104.7,746.08,266.77,179,94.56,96.04,172.46,112.17,66.54,92.4,230.58,71.15
92576,VANCOUVER,WEST,BC,1015,8486.7,3814.65,5140.91,3345.79,1226.87,347.75,356.6,159.81,148.83,238.42,168,99.44,126.88,425.58,108.62
